AAPL
NVDA
MSFT
AMZN
GOOGL
GOOG
META
TSLA
AVGO
BRK.A
BRK.B
TSM
WMT
LLY
JPM
V
MA
UNH
ORCL
COST
XOM
NFLX
HD
PG
JNJ
BAC
NVO
ABBV
SAP
CRM
ASML
TMUS
KO
CVX
BABA
PLTR
WFC
CSCO
ACN
TM
IBM
AZN
PM
ABT
GE
MCD
MS
LIN
GS
AXP
MRK
NVS
ISRG
NOW
TMO
SHEL
ADBE
PEP
DIS
BX
HSBC
QCOM
T
AMD
ARM
VZ
CAT
UBER
PDD
RTX
RY
SPGI
BKNG
SHOP
TXN
INTU
APP
AMGN
BSX
C
PGR
BLK
UNP
HDB
AMAT
SCHW
SYK
MUFG
DHR
PFE
LOW
TJX
NEE
UL
BA
ANET
TTE
SNY
SONY
CMCSA
HON
PANW
SPOT
GILD
BHP
FI
SBUX
DE
ADP
KKR
COP
ETN
VRTX
MDT
PLD
BMY
MMC
CRWD
NKE
CB
RIO
LRCX
MU
UBS
BUD
TD
MELI
INTC
ADI
LMT
GEV
IBN
KLAC
ENB
UPS
CEG
WELL
ICE
RELX
SMFG
MCO
SO
BAM
WM
BP
MO
BN
ELV
SHW
SAN
