,Stock,Price/Book,Price/Earnings,Trailing Peg Ratio,Link
61,HUBB,-54.51803129856694,30.49819825274874,2.5583,https://finance.yahoo.com/quote/HUBB
62,LII,96.6885725838138,26.318080093743056,2.2552,https://finance.yahoo.com/quote/LII
63,EME,24.744442723800052,22.77885091807797,,https://finance.yahoo.com/quote/EME
64,BLDR,-56.296870149663505,16.33593738079071,,https://finance.yahoo.com/quote/BLDR
65,SNA,5.827445471595823,18.250256623663123,2.4486,https://finance.yahoo.com/quote/SNA
66,LUV,2.0098919746855737,40.407893532200866,0.461,https://finance.yahoo.com/quote/LUV
67,WSO.B,,,,https://finance.yahoo.com/quote/WSO.B
68,WSO,9.530086440657634,36.899768414640754,4.2505,https://finance.yahoo.com/quote/WSO
69,AER,1.3650280090058418,7.709677296300088,,https://finance.yahoo.com/quote/AER
70,CSL,-6122.311065673828,20.87138217872873,1.1289,https://finance.yahoo.com/quote/CSL
71,J,,,1.7029,https://finance.yahoo.com/quote/J
72,SYM,15.873581280503737,-209.64285986764088,3.1559,https://finance.yahoo.com/quote/SYM
73,JBHT,7.638484830921094,30.7949642483279,3.0198,https://finance.yahoo.com/quote/JBHT
74,PNR,-21.863921150593654,25.920000076293945,1.8698,https://finance.yahoo.com/quote/PNR
75,MAS,-18.431650833701134,21.08510605832364,1.9399,https://finance.yahoo.com/quote/MAS
76,GFL,-4.469367208782056,-34.50400085449219,,https://finance.yahoo.com/quote/GFL
77,IEX,-23.806197984841564,34.7229098387916,2.3424,https://finance.yahoo.com/quote/IEX
78,RBA,-7.992637574640035,48.10752868652344,,https://finance.yahoo.com/quote/RBA
79,BAH,-12.207796354092139,19.253731343283583,,https://finance.yahoo.com/quote/BAH
80,CNH,6.32822278740483,9.47058831944185,,https://finance.yahoo.com/quote/CNH
81,EXPD,6.7685804699863565,22.14035123412372,3.3941,https://finance.yahoo.com/quote/EXPD
82,OC,-1667.1016942342123,15.6796943969208,,https://finance.yahoo.com/quote/OC
83,XPO,-60.77439301311779,43.5407160159431,1.4205,https://finance.yahoo.com/quote/XPO
84,FIX,70.13953084605772,33.44180704441041,,https://finance.yahoo.com/quote/FIX
85,ZTO,0.3010111304662747,12.780821813295965,1.2059,https://finance.yahoo.com/quote/ZTO
86,RKLB,50.538458225755434,-76.44736641331723,,https://finance.yahoo.com/quote/RKLB
87,UHAL,2.1170410401267166,32.10132279585112,,https://finance.yahoo.com/quote/UHAL
88,GGG,7.028320652418886,29.847517081186282,2.6938,https://finance.yahoo.com/quote/GGG
89,TXT,3.0908294510705834,17.629032750283518,0.7623,https://finance.yahoo.com/quote/TXT
90,ACM,-10.727502105149691,28.42048583326314,1.0719,https://finance.yahoo.com/quote/ACM
91,SWK,-5.313175350978265,-71.0241933022776,,https://finance.yahoo.com/quote/SWK
92,ESLT,11.222961267034249,52.32020338920698,,https://finance.yahoo.com/quote/ESLT
93,CW,45.5586053581038,32.79206072225012,,https://finance.yahoo.com/quote/CW
94,POOL,29.820332076812846,29.574742268041234,,https://finance.yahoo.com/quote/POOL
95,UHAL.B,,,,https://finance.yahoo.com/quote/UHAL.B
96,SAIA,5.780327794714676,34.244649454462376,2.3768,https://finance.yahoo.com/quote/SAIA
97,NDSN,-19.81382299483969,27.187654471691744,1.7513,https://finance.yahoo.com/quote/NDSN
98,CLH,37.56519866291765,30.299089726918073,,https://finance.yahoo.com/quote/CLH
99,RTO,-21.398449778091706,25.82474148150572,0.6506,https://finance.yahoo.com/quote/RTO
100,ITT,15.741310075720126,25.771331787109375,1.8032,https://finance.yahoo.com/quote/ITT
101,CHRW,109.7997088628629,25.77461084553615,1.2868,https://finance.yahoo.com/quote/CHRW
102,ALLE,-21.381519533856803,20.41999934269832,1.7409,https://finance.yahoo.com/quote/ALLE
103,MTZ,-324.82507886422303,128.39822684769084,,https://finance.yahoo.com/quote/MTZ
104,LECO,21.554842689244882,23.69249091529164,1.8467,https://finance.yahoo.com/quote/LECO
105,CNM,-9.120043665059098,26.37383113397616,,https://finance.yahoo.com/quote/CNM
106,TFII,84.0735511619711,23.9654541015625,,https://finance.yahoo.com/quote/TFII
107,AAL,-1.0115712980413947,13.645161351849955,0.2335,https://finance.yahoo.com/quote/AAL
108,WWD,14.54326338510406,30.875,2.0023,https://finance.yahoo.com/quote/WWD
109,RBC,-41.35193917883212,47.839506172839506,,https://finance.yahoo.com/quote/RBC
110,ULS,399.34720703968003,35.701986653915306,3.581,https://finance.yahoo.com/quote/ULS
111,NVT,-18.933742068949172,18.976675317169278,,https://finance.yahoo.com/quote/NVT
112,APG,-6.180515110880222,-21.92528823326374,,https://finance.yahoo.com/quote/APG
113,RRX,-2.6883428549551223,50.23101130618325,1.5411,https://finance.yahoo.com/quote/RRX
114,BWXT,24.62511419222215,37.394039836150924,,https://finance.yahoo.com/quote/BWXT
115,FTAI,211.08784177987442,-1256.624984741211,,https://finance.yahoo.com/quote/FTAI
116,ARMK,-3.3000846755378195,39.30303014890112,,https://finance.yahoo.com/quote/ARMK
117,AYI,19.55865220952902,24.458426390613504,1.6901,https://finance.yahoo.com/quote/AYI
118,BLD,-24.941702539668555,17.333332962861977,,https://finance.yahoo.com/quote/BLD
119,AIT,18.881384298838192,26.318825787378223,2.6974,https://finance.yahoo.com/quote/AIT
120,TTEK,-23.546056254740034,38.736841302169,,https://finance.yahoo.com/quote/TTEK
121,AOS,13.67652692385956,18.539945744285898,1.6869,https://finance.yahoo.com/quote/AOS
122,CR,16.408660759623313,37.02608854874321,2.369,https://finance.yahoo.com/quote/CR
123,CRS,7.464129094169238,36.35781498278602,,https://finance.yahoo.com/quote/CRS
124,AAON,14.820137098966986,51.04385844448157,,https://finance.yahoo.com/quote/AAON
125,WMS,20.449281743506596,19.22257609890451,1.0162,https://finance.yahoo.com/quote/WMS
126,PAC,-3.9743034484226305,21.780259236605833,,https://finance.yahoo.com/quote/PAC
127,DRS,8.461240980466936,47.50000206199852,,https://finance.yahoo.com/quote/DRS
128,KNX,9.057892723861325,78.20547966107931,1.1502,https://finance.yahoo.com/quote/KNX
129,MIDD,-19.460648682487943,23.573002670750473,,https://finance.yahoo.com/quote/MIDD
130,LTM,-50865.97897404029,9.42414877215406,,https://finance.yahoo.com/quote/LTM
131,WCC,953.4368159259259,14.811849479583667,2.4368,https://finance.yahoo.com/quote/WCC
132,ALK,11.59694461936937,23.782467532467532,,https://finance.yahoo.com/quote/ALK
133,SARO,-4.98630533123526,447.33333587646484,,https://finance.yahoo.com/quote/SARO
134,MLI,6.212798144940427,15.321011673151752,,https://finance.yahoo.com/quote/MLI
135,FBIN,-14.424633647120276,20.188731878576146,2.1172,https://finance.yahoo.com/quote/FBIN
136,GTLS,-3.4439132862532342,60.28205023871528,0.2256,https://finance.yahoo.com/quote/GTLS
137,GNRC,66.3774800881842,31.175365726733755,1.0118,https://finance.yahoo.com/quote/GNRC
138,STN,-25.900901635367987,36.35211281933135,,https://finance.yahoo.com/quote/STN
139,DCI,12.064684120566206,20.694768151571584,2.2899,https://finance.yahoo.com/quote/DCI
140,TTC,14.014900494468096,20.76558519777217,,https://finance.yahoo.com/quote/TTC
141,FLR,4.03894124025242,33.2482752306708,0.331,https://finance.yahoo.com/quote/FLR
142,FLS,10.985951500951762,30.84729011422895,1.8976,https://finance.yahoo.com/quote/FLS
143,LPX,6.241000097728704,20.132530330585737,0.8641,https://finance.yahoo.com/quote/LPX
144,ASR,-34.69905670880072,13.330257465794226,,https://finance.yahoo.com/quote/ASR
145,ATI,5.214515208873858,21.957692366379955,,https://finance.yahoo.com/quote/ATI
146,DLB,5.151332676086428,31.011112354419847,,https://finance.yahoo.com/quote/DLB
147,TREX,11.830977107416624,33.25570859865511,,https://finance.yahoo.com/quote/TREX
148,AGCO,6.483548511993534,46.20796473680345,1.0336,https://finance.yahoo.com/quote/AGCO
149,HII,13.654089227965954,11.150932419832444,1.4186,https://finance.yahoo.com/quote/HII
150,OSK,4.711042595707988,11.246376959022117,,https://finance.yahoo.com/quote/OSK
151,CAE,6.815380168539243,-31.46666717529297,,https://finance.yahoo.com/quote/CAE
152,ERJ,45.48253936516941,15.118081631255766,,https://finance.yahoo.com/quote/ERJ
153,ESAB,-22.645882227633884,27.829212660200138,1.5768,https://finance.yahoo.com/quote/ESAB
154,LOAR,-19.32324604696065,397.40001678466797,,https://finance.yahoo.com/quote/LOAR
155,AZEK,34.32695050075674,49.25961494445801,,https://finance.yahoo.com/quote/AZEK
156,BECN,-10.541114558854392,20.229059203058227,,https://finance.yahoo.com/quote/BECN
157,KBR,-5.129600847126663,23.059321258027676,,https://finance.yahoo.com/quote/KBR
158,FCN,7.062206914758677,22.428244099140713,,https://finance.yahoo.com/quote/FCN
159,ADT,-1.1858180198558141,767.9999828338623,,https://finance.yahoo.com/quote/ADT
160,WTS,9.546881918686033,24.823529265221712,2.8703,https://finance.yahoo.com/quote/WTS
161,SPXC,-35.48018087638694,39.5000011362928,1.358,https://finance.yahoo.com/quote/SPXC
162,WSC,-18.082799427237905,308.83334477742517,1.4663,https://finance.yahoo.com/quote/WSC
163,JBTM,9.61998510783201,29.75391498881432,,https://finance.yahoo.com/quote/JBTM
164,CWST,19.434381484277598,977.6363719593395,,https://finance.yahoo.com/quote/CWST
165,R,4.649298627035438,14.926030305440953,,https://finance.yahoo.com/quote/R
166,ZWS,-56.57709641378325,50.56410080347305,1.7887,https://finance.yahoo.com/quote/ZWS
167,VMI,12.125000684395836,22.52274336494399,,https://finance.yahoo.com/quote/VMI
168,AWI,114.37891891379431,26.68021104361059,,https://finance.yahoo.com/quote/AWI
169,RHI,5.419396980099678,26.553279063740714,,https://finance.yahoo.com/quote/RHI
170,MSA,31.688223726046072,23.80491267739004,,https://finance.yahoo.com/quote/MSA
171,SITE,7.675538740280688,45.60897533710186,,https://finance.yahoo.com/quote/SITE
172,JOBY,7.822954965304126,-11.800000326974052,,https://finance.yahoo.com/quote/JOBY
173,KEX,2.5289065744142,22.23014287696108,,https://finance.yahoo.com/quote/KEX
174,SMR,17.39492572203944,-25.094737002724095,,https://finance.yahoo.com/quote/SMR
175,FSS,14.378666448207703,28.495651466259055,,https://finance.yahoo.com/quote/FSS
176,GATX,2.544896393638154,21.268637689036392,,https://finance.yahoo.com/quote/GATX
177,LSTR,11.58085331147393,29.82971080835315,3.8182,https://finance.yahoo.com/quote/LSTR
178,HRI,27.609220421023483,16.690671580512863,,https://finance.yahoo.com/quote/HRI
179,MOG.A,,,,https://finance.yahoo.com/quote/MOG.A
180,MOG.B,,,,https://finance.yahoo.com/quote/MOG.B
181,TKR,15.545761048155747,16.653526274495103,1.0259,https://finance.yahoo.com/quote/TKR
182,CSWI,13.910118547848974,39.54556325642611,2.8426,https://finance.yahoo.com/quote/CSWI
183,DY,8.192656552709268,24.889474166067025,,https://finance.yahoo.com/quote/DY
184,GXO,-3.329247388810486,51.06741658757242,1.1078,https://finance.yahoo.com/quote/GXO
185,BE,12.503380810653123,-43.66666652538158,2.4821,https://finance.yahoo.com/quote/BE
186,HXL,5.417945789036372,41.00628738883156,1.4034,https://finance.yahoo.com/quote/HXL
187,GTES,-29.03439596173261,24.927711486816406,,https://finance.yahoo.com/quote/GTES
188,SNDR,2.415688838013792,45.07575757575757,,https://finance.yahoo.com/quote/SNDR
189,AL,0.6703867020707494,10.5239181692345,,https://finance.yahoo.com/quote/AL
190,AMTM,-1.3718866363935618,-23.299999237060547,,https://finance.yahoo.com/quote/AMTM
191,AVAV,9.77398694935223,106.59762952454697,,https://finance.yahoo.com/quote/AVAV
192,KTOS,7.017675086530944,333.69998931884766,,https://finance.yahoo.com/quote/KTOS
193,ACA,4.418255920944971,38.51711142652388,,https://finance.yahoo.com/quote/ACA
194,SKYW,4.373382783158086,15.542416217088086,,https://finance.yahoo.com/quote/SKYW
195,ACHR,8.59077472431763,-7.213740312416134,,https://finance.yahoo.com/quote/ACHR
196,BBU,-0.05275270232766048,-43.880001068115234,,https://finance.yahoo.com/quote/BBU
197,MATX,2.281397368830723,11.930193953197277,,https://finance.yahoo.com/quote/MATX
198,EXPO,14.995905986020485,44.4999991111385,,https://finance.yahoo.com/quote/EXPO
199,TNET,-9.049306896893292,17.856596441615377,7.216,https://finance.yahoo.com/quote/TNET
200,FELE,6.422828273565926,25.249999460547862,1.9446,https://finance.yahoo.com/quote/FELE
201,ROAD,13.233806994437373,61.374046966319774,,https://finance.yahoo.com/quote/ROAD
202,MSM,8.281270472449407,19.19093166160128,2.3554,https://finance.yahoo.com/quote/MSM
203,IESC,10.353284153867524,22.3741151445194,,https://finance.yahoo.com/quote/IESC
204,KAI,82.10772545946395,38.16786017364221,,https://finance.yahoo.com/quote/KAI
205,STRL,37.10365924826755,24.138982740499205,1.5314,https://finance.yahoo.com/quote/STRL
206,VRRM,-7.2133797168032565,43.983332316080734,,https://finance.yahoo.com/quote/VRRM
207,AEIS,6.020529713911865,95.9000015258789,,https://finance.yahoo.com/quote/AEIS
208,MMS,-5.992206449744173,15.088176536177825,,https://finance.yahoo.com/quote/MMS
209,CBZ,-115.83140416549627,36.2067500247231,,https://finance.yahoo.com/quote/CBZ
210,GEO,10.210923334863544,112.5357151031494,1.7219,https://finance.yahoo.com/quote/GEO
211,RXO,68.73756152772714,-11.985981130154332,3.42,https://finance.yahoo.com/quote/RXO
212,PRIM,14.32824744466424,25.336632555467464,,https://finance.yahoo.com/quote/PRIM
213,BCO,-2.4551655911492234,35.21886861549233,,https://finance.yahoo.com/quote/BCO
214,SPR,-1.9517684852320532,-2.8037921122451115,,https://finance.yahoo.com/quote/SPR
215,UNF,2.9094653097692573,27.406650552969147,,https://finance.yahoo.com/quote/UNF
216,NPO,-15.379888798893077,72.5390613079071,,https://finance.yahoo.com/quote/NPO
217,CPA,1.8936407246169809,6.169424303157057,,https://finance.yahoo.com/quote/CPA
